Year,Month,Day,Time_UTC,Latitude,Longitude,Magnitude,Depth
2009,1,9,18:57:36,-0.81,133.39,4.6,35
2009,1,9,12:43:12,-19.3,-66.66,4.6,246
2009,1,9,1:40:48,-2.23,99.76,5.1,16
2009,1,9,3:50:24,16.09,119.74,5,65
2009,1,9,20:09:36,-4.28,152.17,5.1,184
2009,1,9,23:16:48,-6.27,130.28,4.5,108
2009,1,9,17:31:12,51.84,-176.05,4.9,71
2009,1,9,0:14:24,4.32,-78.81,4.6,52
2009,1,9,23:02:24,31.81,78.34,4.2,28
2009,1,9,13:40:48,30.39,67.48,4.3,10
2009,1,9,12:28:48,-8.48,157.31,4.6,37
2009,1,9,6:00:00,-0.71,133.78,5.2,35
2009,1,9,23:45:36,-0.73,133.27,4.4,35
2009,1,9,12:28:48,-1.11,127.05,4.6,41
2009,1,9,19:12:00,85.33,14.79,4.1,10
2009,1,9,3:07:12,-23.6,-179.9,4.8,521
2009,1,9,13:40:48,-6.78,129.74,4.2,35
2009,1,9,10:33:36,13.44,120.54,4.2,52
2009,1,9,20:52:48,-7.47,130.92,4.2,10
2009,1,9,0:00:00,-23.04,-70.81,5,19
2009,1,10,9:21:36,-0.33,132.36,4.6,38
2009,1,10,3:21:36,-21.75,-179.5,4.5,654
2009,1,10,5:45:36,-56.22,-142.91,5.1,10
2009,1,10,8:38:24,2.26,126.84,4.5,35
2009,1,10,8:52:48,0.43,126.09,4.6,59
2009,1,10,19:40:48,41.66,143.92,4.4,33
2009,1,10,16:04:48,41.65,143.96,4.2,35
2009,1,10,4:48:00,-35.32,178.9,4.9,211
2009,1,10,14:24:00,-23.51,-175.59,4.5,35
2009,1,10,6:14:24,-31.44,-68.24,4.5,103
2009,1,10,5:45:36,-23.18,169.66,4.6,45
2009,1,10,13:40:48,51.59,15.91,4.1,5
2009,1,10,16:33:36,-0.33,132.4,4.2,35
2009,1,10,13:55:12,-1.99,139.06,4.2,35
2009,1,10,15:21:36,-14.73,167.47,4.5,221
2009,1,10,1:26:24,-0.45,132.81,4.8,35
2009,1,10,1:12:00,29.73,142.21,4.3,12
2009,1,10,12:00:00,38.02,21.54,4.4,18
2009,1,10,8:52:48,-15.4,-174.69,4.3,178
2009,1,10,3:21:36,-41.22,172.6,4.1,209
2009,1,11,4:04:48,53.22,159.68,4.5,72
2009,1,11,13:12:00,-38.14,49.13,4.6,10
2009,1,11,15:50:24,-31.66,-69.27,4.9,5
2009,1,11,18:43:12,42.67,143.42,4.6,71
2009,1,11,4:33:36,-8.9,160.89,4.2,60
2009,1,11,18:00:00,10.83,140.52,4.7,48
2009,1,11,9:07:12,-5.99,130.73,4.5,35
2009,1,11,9:36:00,51.52,16.11,4.7,1
2009,1,11,5:31:12,-0.41,133.4,4.6,35
2009,1,11,19:26:24,52.02,172.4,4.5,10
2009,1,11,6:00:00,42.89,143.13,4.6,88
2009,1,11,15:36:00,-6.39,147.42,5.2,72
2009,1,11,15:21:36,-0.77,133.51,5,27
2009,1,11,23:31:12,-41.6,173.23,4.6,101
2009,1,11,3:50:24,6.44,126.87,5.1,107
2009,1,11,4:04:48,-0.55,132.88,5.2,35
2009,1,11,7:55:12,-26.73,-175.97,5.2,6
2009,1,11,18:00:00,27.78,139.75,4.1,481
2009,1,11,23:45:36,-26.78,-176.05,4.5,63
2009,1,11,8:52:48,-1.59,99.73,5,35
2009,1,11,11:31:12,-0.56,132.79,4.9,35
2009,1,11,2:09:36,-14.57,-172.89,4.8,60
2009,1,11,2:24:00,-5.76,106.05,4.1,186
2009,1,11,15:50:24,-18.02,-178.41,4.2,566
2009,1,12,8:38:24,13.5,120.82,5.2,37
2009,1,12,11:02:24,3.44,96.3,4.3,90
2009,1,12,1:40:48,34.14,33.06,4.4,10
2009,1,12,6:28:48,-7.7,128.29,4.2,35
2009,1,12,11:45:36,44.29,145.6,4.2,150
2009,1,12,7:26:24,-20.42,-178.39,4.3,557
2009,1,12,23:02:24,-0.63,133.62,4.2,35
2009,1,12,19:26:24,27.41,141.39,4.2,35
2009,1,12,3:21:36,0.25,122.23,4.7,186
2009,1,12,14:09:36,-22.42,171.25,4.5,84
2009,1,12,12:43:12,-28.49,-70.5,4.4,88
2009,1,12,0:28:48,-9.86,160.38,4.5,53
2009,1,12,21:50:24,-25.46,179.8,4.7,509
2009,1,12,12:14:24,-0.57,133.18,4.9,35
2009,1,12,5:02:24,-25.44,179.78,4.4,515
2009,1,12,16:19:12,-21.29,169.68,4.6,19
2009,1,12,5:45:36,2.82,95.78,5.1,58
2009,1,12,9:07:12,-10.23,66.31,5,10
2009,1,12,3:36:00,-17.63,-69.14,4.5,148
2009,1,13,15:21:36,-13.15,66.08,6,10
2009,1,13,22:48:00,35.87,72.34,4.8,41
2009,1,13,12:00:00,10.22,-84.23,4.2,4
2009,1,13,16:48:00,10.3,-84.2,4.5,0
2009,1,13,5:31:12,52.34,179.84,4.1,206
2009,1,13,22:19:12,-14.82,167.38,4.6,119
2009,1,13,21:36:00,35.66,26.39,5.3,42
2009,1,13,3:07:12,-8.95,-109.34,5.2,10
2009,1,13,13:12:00,-18.24,-175.18,4.5,214
2009,1,13,21:36:00,17.93,-102.68,4.2,11
2009,1,13,16:48:00,16.53,-101.37,4.2,15
2009,1,13,0:14:24,-22.79,-175.21,5,40
2009,1,13,14:24:00,13.56,-89.82,4.2,73
2009,1,13,11:02:24,-0.83,133.41,4.5,35
2009,1,13,9:07:12,19.95,147.24,4.7,35
2009,1,13,6:14:24,20,147.09,4.7,37
2009,1,13,15:21:36,-29.55,-71.22,5.1,60
2009,1,13,4:04:48,-20.5,169.89,4.7,122
2009,1,13,18:00:00,-15.36,-173.82,4.4,80
2009,1,13,2:24:00,-37.41,-71.43,4.2,115
2009,1,13,21:50:24,49.06,-128.91,4.6,13
2009,1,13,3:07:12,-12.35,166.94,4.4,222
2009,1,13,3:21:36,20,147.09,5,19
2009,1,13,13:40:48,19.97,147,4.5,35
2009,1,13,22:19:12,13.1,124.63,4.5,91
2009,1,13,6:28:48,5.77,-76.14,4.7,58
2009,1,13,4:19:12,19.91,147.1,4.9,10
2009,1,13,15:21:36,20.02,147.1,4.6,20
2009,1,13,13:12:00,-24.16,-66.93,4.3,181
2009,1,13,11:31:12,19.94,147,4.8,55
2009,1,13,4:48:00,-6.81,129.72,4.4,52
2009,1,13,19:55:12,-53.05,25.75,4.4,10
2009,1,13,20:09:36,-49.62,117.92,4.3,10
2009,1,14,6:43:12,-17.37,168.35,4.4,35
2009,1,14,2:38:24,18.11,146.42,4.2,35
2009,1,14,10:48:00,47.74,152.99,4.5,57
2009,1,14,17:16:48,-0.69,133.32,4.6,35
2009,1,14,19:55:12,-6.47,155.7,5.2,169
2009,1,14,7:12:00,52.27,159.29,5.4,62
2009,1,14,5:02:24,-6.68,152.45,4.9,10
2009,1,14,0:00:00,38.16,73.55,4.5,102
2009,1,14,21:07:12,-0.75,133.16,4.9,35
2009,1,14,12:00:00,19.92,147.18,4.1,48
2009,1,14,19:12:00,-21.21,-179.13,4.1,598
2009,1,14,19:55:12,-5.2,152.53,4.3,92
2009,1,14,13:40:48,-5.11,152.53,4.1,70
2009,1,14,1:40:48,-7.75,118.69,5,38
2009,1,14,15:07:12,20.09,147.07,4.4,35
2009,1,14,8:38:24,-0.51,132.95,5,35
2009,1,14,12:57:36,-2.78,127.63,4.6,75
2009,1,14,19:12:00,18.1,-100.07,4,51
2009,1,14,18:14:24,31.18,103.32,4.8,10
2009,1,14,19:55:12,52.29,174.63,4.9,32
2009,1,14,22:04:48,-0.39,132.21,5,35
2009,1,14,18:28:48,26.38,-44.55,4.7,10
2009,1,14,6:14:24,12.85,-88.43,4.1,77
2009,1,14,12:28:48,36.46,70.14,4.1,214
2009,1,14,17:16:48,-0.53,133.11,4.4,35
2009,1,14,19:26:24,-24.45,179.96,4.5,525
2009,1,15,12:28:48,45.73,80.95,4.6,29
2009,1,15,2:52:48,-4.42,152.85,4.4,98
2009,1,15,19:55:12,-16.5,-173.8,4.9,68
2009,1,15,20:52:48,-0.73,133.24,4,35
2009,1,15,6:57:36,-22.35,170.63,6.7,27
2009,1,15,22:48:00,-36.8,176.95,4,216
2009,1,15,16:19:12,-20.93,-173.74,4.9,35
2009,1,15,2:09:36,-22.1,170.37,4.4,35
2009,1,15,18:43:12,-22.25,170.52,4.5,35
2009,1,15,12:57:36,21.93,145.18,4.1,35
2009,1,15,15:50:24,22,145.08,4.2,35
2009,1,15,16:04:48,31.41,141.71,4.7,10
2009,1,15,9:07:12,31.43,141.71,4.8,10
2009,1,15,18:57:36,31.38,141.77,4.4,10
2009,1,15,21:36:00,15.07,-94.99,4,16
2009,1,15,4:48:00,-22.54,170.43,5.6,35
2009,1,15,21:36:00,-0.64,133.28,4.3,35
2009,1,15,20:52:48,-22.15,-173.64,5,10
2009,1,15,21:50:24,-10.33,161.21,5.7,114
2009,1,15,1:40:48,46.86,155.15,7.4,36
2009,1,15,22:48:00,-22.5,170.68,4.8,21
2009,1,15,1:26:24,-15.78,-74.33,4.9,29
2009,1,15,21:07:12,47,155.37,4.6,3
